candidate_id,rank,score,reasoning
CAND_0018499,1,0.9109,"Senior Machine Learning Engineer with 7.2 yrs experience, hands-on with bge, embeddings, faiss, +7 more. Marked open to work."
CAND_0002025,2,0.8999,"Senior AI Engineer with 5.9 yrs experience, hands-on with embeddings, faiss, opensearch, +4 more. Marked open to work."
CAND_0077337,3,0.8917,"Staff Machine Learning Engineer with 7.0 yrs experience, hands-on with a/b testing, bge, embeddings, +7 more. Marked open to work."
CAND_0062247,4,0.8773,"AI Engineer with 7.3 yrs experience, hands-on with bge, elasticsearch, faiss, +5 more. Marked open to work."
CAND_0017960,5,0.8756,"Recommendation Systems Engineer with 7.7 yrs experience, hands-on with a/b testing, embeddings, faiss, +5 more. Marked open to work."
CAND_0086022,6,0.8648,"Senior Applied Scientist with 5.3 yrs experience, hands-on with a/b testing, bge, elasticsearch, +8 more. Marked open to work."
CAND_0053591,7,0.8628,"AI Engineer with 5.3 yrs experience, hands-on with a/b testing, embeddings, faiss, +7 more. Marked open to work."
CAND_0075574,8,0.8605,"Machine Learning Engineer with 5.7 yrs experience, hands-on with elasticsearch, embeddings, openai embeddings, +5 more. Marked open to work."
CAND_0044222,9,0.8587,"AI Engineer with 7.7 yrs experience, hands-on with bge, elasticsearch, faiss, +5 more. Marked open to work."
CAND_0081846,10,0.8563,"Lead AI Engineer with 6.7 yrs experience, hands-on with bge, elasticsearch, embeddings, +9 more. Marked open to work."
